Phone_number,International_calls,Voice_mail,Number_of_voicemails,Daytime_minutes_used,Number_of_calls_during_the_day,Monthly fee,Used_evening_minutes,Number_of_calls_in_the_evening,Subscription_fee_in_the_evening,Using_night_minutes,Number_of_night_calls,Nightly_subscription_fee,Minutes_of_long_distance_calls,Number_of_international_calls,Subscription_fee_for_international_calls,The_number_of_calls_to_the_service_department
335-4858,нет,нет,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4
414-8718,нет,да,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4
409-5939,нет,нет,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2
331-4902,нет,да,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3
353-6870,нет,нет,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3
355-2909,нет,нет,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1
390-6101,нет,нет,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1
400-3446,нет,нет,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4
411-5859,нет,нет,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1
387-2919,да,нет,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3
374-8525,нет,да,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5
379-5592,нет,нет,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3
345-8237,нет,да,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1
422-6690,нет,да,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2
346-2359,нет,нет,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1
374-3534,нет,да,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0
381-4756,нет,да,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3
390-2805,нет,нет,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1
390-2390,да,нет,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2
419-9097,нет,нет,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3
386-7281,нет,нет,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1
380-3561,да,нет,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1
390-8760,нет,нет,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1
366-6730,нет,да,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2
395-5285,нет,нет,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1
354-3436,нет,нет,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1
336-7600,нет,нет,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1
383-6293,нет,нет,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1
362-4596,нет,нет,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5
401-3926,нет,нет,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0
370-9116,нет,нет,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0
328-6289,нет,да,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0
350-9994,нет,нет,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1
351-4616,нет,да,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1
360-5779,нет,нет,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0
417-4885,нет,нет,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0
406-4710,нет,да,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3
409-8743,нет,нет,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1
335-4584,нет,нет,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1
361-9845,нет,да,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2
366-5699,нет,да,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1
329-9364,нет,нет,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1
390-7434,нет,да,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1
404-9680,нет,нет,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0
338-9398,нет,нет,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1
394-2445,нет,да,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2
381-2709,нет,нет,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3
397-5060,нет,нет,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1
415-2393,нет,нет,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0
377-1765,нет,нет,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2
409-2111,нет,нет,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0
401-3170,нет,нет,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2
405-5681,нет,нет,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3
411-4582,нет,нет,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0.0,0,0.0,3
355-5009,да,да,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4
372-3750,нет,нет,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5
405-2888,нет,да,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2
361-3337,нет,нет,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2
350-1639,да,нет,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3
333-3221,нет,нет,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1
422-1471,нет,нет,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1
399-7865,нет,нет,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2
373-4819,нет,нет,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1
338-6981,нет,нет,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1
418-4365,нет,нет,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0
359-5461,нет,нет,0,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57,1
375-3586,нет,нет,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2
407-8376,нет,нет,0,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62,0
408-6496,нет,да,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1
385-7688,нет,да,23,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,6.8,6,1.84,1
332-6934,нет,нет,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0
378-3625,нет,нет,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2
353-7292,да,да,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4
399-6786,нет,нет,0,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0
358-3261,нет,да,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3
377-9932,нет,нет,0,182.3,101,30.99,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2
397-4030,нет,нет,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,6.4,8,1.73,3
367-1062,нет,нет,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2
341-8467,нет,нет,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1
339-9453,нет,да,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1
344-3388,нет,нет,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2
375-8013,нет,нет,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3
408-4142,нет,нет,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3
386-3671,нет,нет,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3
411-2284,нет,нет,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1
346-7795,да,нет,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0
333-5609,нет,да,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1
405-1842,нет,да,31,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1
366-6345,да,нет,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2
337-9345,нет,нет,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3
328-6770,нет,нет,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0
380-7321,нет,нет,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3
375-1476,нет,нет,0,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1
356-1567,нет,нет,0,223.0,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0
422-6685,нет,нет,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3
336-1090,нет,да,22,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1
343-2095,нет,нет,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1
345-3934,нет,нет,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2
338-8050,нет,нет,0,65.4,97,11.12,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73,2
388-9568,нет,нет,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1
402-6591,нет,нет,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3
403-6419,нет,да,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2
386-9790,нет,да,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4
378-5692,нет,да,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0
360-3324,да,нет,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0
410-3719,да,да,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1
352-4221,нет,нет,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3
327-6179,нет,нет,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0
359-6196,да,нет,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1
374-9107,нет,нет,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5
357-4078,нет,да,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2
366-5780,нет,нет,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3
393-9619,нет,нет,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0
355-9295,нет,нет,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1
400-5751,нет,нет,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0
338-1027,да,нет,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2
405-8867,нет,нет,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1
336-5616,нет,нет,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3
335-1697,нет,нет,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0
331-5138,нет,нет,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0
385-8240,нет,да,37,60.0,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3.0,0
348-1359,нет,нет,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0
354-7339,нет,нет,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4
